Character name,"Character race (human, orc, halfling, etc)","Character class (wizard, bard, cleric, etc)"
Lane Harlowe,Human,Rogue
"Arnoldus ""Dusty"" Knight",Human,Barbarian
Galvindormu,Dragonborn,Paladin
Eku Dustrider,Human,Cleric
Renee Moonstar,Human,Cleric
Joe,goliath,barbarian
Starling,Human,Sorcerer
Dagny,human,ranger
Havelock Garkenoff,Hill Dwarf,Druid
Adrie,Half-elf,Cleric
Havelock Garkenoff,Hill Dwarf,Druid
Del,Firbolg,Ranger
Sting,Halfling,Rogue
Caelynn,High Elf,Wizard
Azra,Tiefling,Druid
Ragrok Outersoul,dwarf,warlock
Anry Tallfellow,half-elf,bard
Aziazor,Warforged,Rogue
Kyri Athak,Minotaur,Mystic
Ettie,Human,Sorcerer
Venkya,half-orc,barbarian
Isaana,gnome,monk
Audax Harfleur,Human,Artificer
Dougal McMantis,Thri-Kreen,Monk
Legitmod the Hand of Fate,Human,Cleric
Barbara Balestra,Human,Monk
Roscoe,Ratfolk,Rogue
Mordecai Wintermane,Human,Fighter
Adraste Naliir,High Elf,Wizard
Baral Naliir,High Elf,Sorcerer
Sherkaner Kaff Vitolerand,Forest Gnome,Rogue assassin
Dasher ,Tabaxi,Ranger
Keziah,Gnome,Cleric
Imra Llorhil ,Elf,Ranger 
Chiyembe Amwala ,Human ,Bard
Hollywick Murnig ,Gnome ,Wizard 
Sir Bruce the Unyielding,Human,Paladin of Pelor
Father Arthur of the Moon Hills,Human,Cleric of Pelor
Aldisanael Bracegirdle-Silverbough,Eladrin,Rogue
Stephen Swift-arrow,Human,Ranger
Gemma Blackmore,Human,Warlord
Tobias Messenger,Human,Avenger
Angus of Windreach,Human,Artificer
Gekka,Dragonborn,Fighter
Yorgi,Werebear,Ranger
"Brand, Iron Wolf of Bane",Half-goliath,Paladin of Bane
Lark,Shifter,Druid
Aleran,Deva,Invoker
"Kammok, Red Wolf of Bane",Half-orc,Paladin of Bane
Rhialwynn Dreamweaver,Elf,Bard
Melody,Tiefling,Bard
Melantha,Elf,Druid
Tik,Thri-kreen,Sword Mage
Jasna,Dwarf,Cleric
Halae-Han Hae Hanae-sa,Wemic,Cleric of Ioun
Tammi Underburrow,halfling,rogue
Valdir,human,bard
Odhran,half-orc,cleric
Orkin Eggsmasher,orc,fighter
Tany Saewynn,half-merfolk,druid
Gruk,bugbear,fighter
Keyleth,half-elf,druid
Nano Richards,halfling,wizard
Hali,dragonborn,bard
Kashvin,elf,warlock
Ama Vrinn,half-drow,warlock
Sir Paradoxus,Silverbrow Human,Inquisitor
Kit Kenyon,human,rogue
Forpaekian the Stuffed,Neraphim,Druid
Rhea Timpit,triton,barbarian
"Star in the Morning, of the Vibrant Isle Clan",tabaxi,monk
Vetra Shturem,tiefling,sorceror
Vetra Shturem,tiefling,sorcerer
Birgir,orc,cleric
Lilli Pearlwood,gnome,bard
Percival Fredrickstein von Musel Klossowski de Rolo III,human,gunslinger
Canum Whitehall,Human,Sorcerer
Vex'ahlia,half-elf,ranger
Vax'ildan,half-elf,rogue
Scanlan Shorthalt,gnome,bard
Pike Trickfoot,gnome,cleric
Grog Strongjaw,goliath,barbarian
Nortiln Dragonsbane,Human,Paladin
Tiberius Stormwind,dragonborn,sorcerer
Taryon Derrington,human,artificer
Kashaw Vesh,human,cleric
Zahra Hydris,tiefling,warlock
Kerrek,human,paladin
Gern Blanston,dragonborn,wizard
Sprigg,gnome,rogue
Tova,dwarf,blood hunter
Taako,elf,wizard
Merle Highchurch,dwarf,cleric
Magnus Burnsides,human,fighter
Roan Wycke,human,rogue
Alenia Valyss,elf,fighter
Solris Cinderborn,dwarf,cleric
Edmund Merbrook,Halfling,Sorcerer 
Lililinda,Gnome,Sorcerer 
Harold Genade,Human ,Alchemist 
Loki Andersson,elf,warlock
Kelly Littlekettle,Halfling,Barbarian
Isaac Feehan,tiefling,wizard
Theresa Aldori,Human,Paladin 
Banjax,Human,Fighter
Mmurmerrr,Catfolk,Bard
Nalarys Delmirev,Dragonborn,Fighter
Gnarrhyl,Gnoll,Fighter
Erel'lyn Auvryani,Drow,Assassin
Khji,Thri-kreen,Cleric
Andreth Saelind,Human,Paladin
Meilu,Catfolk,Rogue 
Ganesha,Puppet (living construct),Berserker
Rhokimira,Half-Orc,Bard
Khatyal,Tengu,Cleric
Salit,Tiefling,Rogue
Mari,tiefling,ranger
Jama,human,ranger
Zella,Human,Gunslinger
Gabriel,Aasimar,Paladin
Greg,Mimic,Fishmonger
Meredith Giplin,Tiefling,Spellbinder
Leth,Human,Warlock
Lilith Wiles,Dhampir,Sorcerer
Nerei Zingiber,Half-elf,Bard
Agni Aldebrand,Dragonborn,Fighter
Greg,Human,Blubberman
Standing Water,lizardfolk,ninja
Speaks to Squirrels,catfolk,fighter
Haccamorco Massa,elf,cleric
Dug Moleman,lizardfolk,warlock
Falizara,half-orc,paladin
Florian,human,bard
Jerrik,Tabaxi,Rogue
Avverin,Eladrin,Bladesinger
Kiran,Human,Cleric
Acardo Blaze,Human,Bladesinger
Aleister Harker,human,arcanist
Alaric Eisen,human,warpriest
Ibrahim Alhazred,Tiefling,Oracle
Parvir,half-eladrin,ranger
Magrietta Ignotti Whitwood,Half-elf,Warlord
Ceilid Augustine Thornhill,Human,Warlock
Silifrey Helder,Human,Warlock
Limbo,Tiefling,Sorcerer 
Delilah,Woof Elf,Bard
Bishop,Half Elf,Rogue
Tamara,Halfling,Swashbuckler/Bard
Thran,halfling,ranger
Risalka,Halfling,Unchained Rogue
Irasmus,Half-elf,Samurai
Keitilu,Darfellan,Cleric/Stormcaster
Giacomo,Elf,Swashbuckler
Thukni,Samsaran,Oracle
Sinderglöd,Tiefling,Warlock
Benadryl Cucumber,Dragonborn,Sorceror
Jakar the cat,Elf,Monk
Lotar,Human,Fighter
Jilly Nargrazg Anderson,half-orc,ranger
Arvele Dundragon,half-dwarf,fighter
Eníredir Siláriel,elf,bard
Veronika Dominikovna,tiefling,wizard
Saïfa Stormweaver,elf,cleric
Enoby Billie Mikkelmoor,Warforged,Warlock
Pharius Vrane,half-elf,paladin
Bonnie Tylarr,half-orc,rogue
Veshke ven Fein,Drow,Cleric
Theophania Kostas,tiefling,rogue
Rysher Valeris,Eladrin,Paladin
Fyalka Bitterblink,Gnome,Rogue
Hell Mel Haycutter,Human,Fire mage
Garregwen,wood elf,fighter
Tolmac Yew,halfling,druid
Micklehast the Wrathful,halfling,barbarian
Andralamusia Fawkes,tiefling,sorcerer
Ludovic,human,fighter
Tola Illvidri,dwarf,ranger
Tilda Forgeborn,dwarf,druid
Kukl,human,barbarian
Sir Paris Camembert,human,paladin
Thesselus Elsulmun,high elf,sorcerer
Reinar,Lupinal,Ranger
Alynn Yellowhair,Human,Cleric
Nasain,Cat-folk,Rogue
Travis,orc,barbarian
Bellandra,high elf,wizard
Stinky,dwarf,rogue
Rül,Lizard-folk,Shaman
Bob Johnson,Human,Sorcerer
Tank,Halfling,Warrior 
Valindra,Half-elf,Bard
Brikkfist,Goblin,Brawler
Sin Jang,Human,Cleric
,,
Aurther Ford,Human,Cleric
Miri,human,fighter
Mal,human,monk
Taako Tacco,elf,wizard
Magnus Burnsides,human,fighter
Merle Hightower Highchurch,dwarf,cleric
Ysgrammor Forgehammer,dwarf,fighter
Carey Fangbattle,dragonborn,rogue
Gloria Flint,Halfling,Warlock
Quimsy Starfellow,Gnome,Druid
Henrik Fitzozmit,Water Genasi,Bard
Selina,Elf,Barbarian
Yoric,Elf,Wizard
Vladislak Lockhart,Human,Wizard
Gharsh Krimpburzum,Half orc,Paladin
A_t_ ,Human,Sorcerer
A_t_ ,Human,Sorcerer
Dangar Barge ,Half elf,Bard
Valentine Vetanda Vacherin,Teifling,Mage Guard
Linnet Bedivere,Human,Woods Witch
Tyrone Hammers III,Human,Warlock
Krez Valm,Half-Orc,Pugilist
Rag,Changeling,Rogue
Menekhanon,Tiefling,Monk
Holly Belladonna,wood-elf,druid
Richars Zamkowy,human,bard
Vela,Tiefling,Druid
Cael,Dark Abberation,Sorcerer
Marshall Sterling,Human,Paladin
Natal,Eladrin,Bard
Benny,Human,Rogue
Martika,Dragonborn,Paladin
Tesselae,Changeling,Psion
Skarn,Human,Fighter
Taj,Human,Sorceror
Miria,Human,Fighter
Joustin Timberlake,Aasimar,Paladin
Darude Sandstorm,Human,Bard
Borgo,Human,Warrior
Gunda True-Shield,Dwarf,Warrior
Sine Nomine,Human,Paladin
Briar Ananassa,elf,wizard
Tessarian Urien,Elf,Wizard
Valkorin Yavieba,Half-elf,Bard/Rogue
"Gaunoth ""Skywatcher"" Nulakekali",Goliath,Druid/Barbarian
Hesfix Arklighte,Gnome,Wizard/Cleric
"Reinhart ""Ronn"" Farybar von Umrick, Jakkursen",Gnome,Wizard
Darius Lunraeven,Human,Cleric
Denver Ainsworth,Human,Fighter
Hector ,Minotaur,Paladin/Druid
Zalgrung,Hobgoblin,Cleric
Zaheer,Human,Monk/Sorcerer
Jodal,Halfling,Fighter
,Copper Dragonborn,Bard/Warlock
Mugetar,Half-orc,Wizard
Arkvius,Tiefling,Barbarian/Sorcerer
Moragh,Dwarf,Druid
Meighad,Ifrit,Rogue
Franjeksa To'Rei,Human,Rogue/Monk
Alissa Vern,Human,Wizard
Helga Greenbottom,human,Wizard
Archibald Sevenson,Human,Wizard
Edward Conroy,Human,Rogue/Sorcerer
Sebastian Montague IV,Human,Bard
Grom Vern,Half-orc,Paladin
Ullamir,Half Elf,Warlock
Zaria Excavit,Human,Warlock
Arkas the Blessed,Aasimar,Cleric
Tana Basha,Half Elf,Fighter
Johan Ceyna,Dwarf,Barbarian
Francis Embercrumb II,Half Elf,Sorcerer 
Gauntlet,Tiefling,Paladin
Brom Heras,Human,Druid
Rodrik Forrester,Human,Fighter
Nacey Lionheart,Human,Cleric
Tunga Truebeard,Dwarf,Paladin
Nizari,Elf,Fighter
Bjorn,Human,Fighter
Caww,Kenku,Cleric
Robin of House Rogarvia,Half-Elf,Paladin
Beryll,Dwarf,Bard
Oskar DiLondra,Elf,Bard
Wynn Finklehand,Halfling,Monk
Virion Keylynn,Elf,Monk
Solar,Human,Cleric
Soleil Cheatsalot,Half-elf,Wizard
Mistril Starshine,Human,Paladin
Lucian,Half-elf,Warlock
Ehput-Ki,Human,Monk
Zyranthillus,Human,Necromancer
Krupps Koffeemaykr,Human,Paladin
Gnick Shirkenflick,Gnome,Illusionist thief
Julverne,Human,Bard
Bleu Azul,Hobgoblin,Magus
"Gotin ""Banana"" Himmel",halfling,Gunslinger
Badmouf Toestubba,Orc,Fighter
Zaki Waraxe,Dwarf,Barbarian
Meron Badblood,Tiefling,Ranger
Teka Teki,Human,Wizard
Kale Noraval ,Half elf,bard
Grungi Oathstone,Dwarf,Cleric
,,
Illasia Azurian,High Elf,Paladin
Velosi Raptor,Dark Elf,Rogue
Fafnir Thunderfist,Half-Elf,Barbarian
Bearito,Human,Bard
Cuntz Odheim,Human,Ranger
,,
,,
Cha'reol Xilosdel,High elf,Warlock
Prespetory Volf,Goliath,Sorcerer 
Hegemony,Tiefling ,Monk
Moth Mornridge,tiefling,warlock
Cricket Trickfoot,halfling,monk
Saphrenius Tharder,human,cleric
Lina Goodwind,Human,Sorcerer bard
Anders,Half-elf,Warlock
Snorri Nosebitter,Dwarf,Barbarian
Nounverb the adverb,Human,Barbarian
Wazzok Flesheater,Orc,Wizard
Gitbog Spiderhand,Half-Orc,Rogue
Theod Broadfoot,Halfling,Bard
Caspar Roundbottom,Halfling,Bard
Ulrich Wilde,Human,Ranger
Tirol Brownthrasher,half-elf,gunslinger
Barnd the Chaste,dwarf,cleric
Badmington Scandal,Human,Wizard
Ash Dieback,Human,Fighter
Kazio Quickhand,halfling,swashbuckler
Indigo Kaos,Elf,Druid
Val Tokani,human,oracle
Tharseo Kai Synistemi,human,paladin
Cælren Maithcroi,elf,arcane trickster
Kellar,dwarf,druid
Salabar Darkroot,Gnome,Ranger
Fortrek Ironfist,Dwarf,Paladin
Mallorous Bileheart,Elf,Cleric
Hawk Thorntoe,Halfling,Druid
Gazza Wolfsblood,Orc,Ranger
Thorri Bloodaxe,Dwarf,Barbarian
Thorek Goldtooth,Dwarf,Bard
Ratty Bramblefinger,Halfling,Rogue
Boris Nettletongue,Halfling,Ranger
Dorothy Proudfoot,Halfling,Fighter
Margredt Sorrowsong,Human,Fighter
Dralin Firebeard,Dwarf,Wizard
Anna Fleetfoot,Halfling,Barbarian
Elsa Mistletoe,Halfling,Bard
Elspeth Schaeffer,Human,Ranger
Katherina Bjornsdottir,Human,Ranger
Tyrion Sunblade,Elf,Paladin
Melchior Cursedblood,Teifling,Rogue
Balthassar Marx,Human,Wizard
Anthonius Halbmeister,Human,Wizard
Bartholemus Teuflel,Human,Wizard
Leah Deathsdaughter,Elf,Rogue
Glorian Eaglemane,Elf,Wizard
Pip Overbelly,Halfling,Bard
Anne Longtoe,Halfling,Ranger
Rose Trufflenose,Halfling,Rogue
Bagrag Oathfoot,Halfling,Druid
Peter Thorntoe,Halfling,Ranger
Wellsian Xalstri,Elf,Bard
Geibriian,human,cleric
Dinartha,human,mage
Yampy Proudfoot,Halfling,Cleric
Bilbus Giantsbane,Dwarf,Ranger
Galanna,human,thief
Forfot,human,cleric
Huah the Barbarian,human,fighter
Shana,half-elf,fighter/mage
Isowyn Catterday,Dwarf,Ranger
Martin,human,mage
Bullbaz Slaughtergood,Orc,Barbarian
Kiilara,elf,thief
Mungo Codlin,halfling,thief
Elsbeth,Human,Cleric
Villius,Elf,Rogue
Karl Nettletongue,Halfling,Barbarian
Eckhart Boldheart,Human,Palidin
Odin Oathstone,Dwarf,Druid
Beck Thorntoe,Halfling,Ranger
Bertz Merkel,Human,Fighter
Eltzabet Wolfsdottir,Human,Rogue
,,
Valkryr R'rith ,Elf,Fighter
Dorothea Black,Human,Rogue
Tyrann K'rith,Elf,Fighter
Urk Eyegorger,Orc,Barbarian
Applonia Wilde,Human,Ranger
Agnes Thornbelly,Halfling,Bard
Otilla Broadsword,Human,Paladin
Agatha Wildwoode,Human,Druid
Cecilia Kont,Human,Ranger
Clara Proudnose,Halfling,Fighter
Metze Doomhammer,Dwarf,Fighter
Teclis T'reeth,Elf,Wizard
Morglum Necksnapper,Orc,Fighter
Yolin R'rith,Elf,Ranger
Mybi Q'steen,Elf ,Cleric
Watford Devos,Human,Bard
Kazzador Khazlid,Dwarf,Paladin
Uriza Q'zzit,Elf,Ranger
Valencia D'rigt,Elf,Rogue
Boris Wolffe,Human,Ranger
Mikel Hester,Human,Fighter
Eckhart Hitlegundis,Human,Ranger
Mikel Reynse,Human,Bard
Jonata Snakeblood,Teifling,Wizard
Ular B'debah,Elf,Rogue
Tiim Xaanadu,Human,Ranger
Syphius Q'arcane,Elf,Fighter
Dean Marigold,Human,Bard
Eckhart Von Doom,Human,Paladin
Konrad Curze,Human,Rogue
Vlad Proudbelly,Halfling,Cleric
Sam Nettlefoot,Halfling,Ranger
Gay Nettletoe,Halfling,Ranger
Merry Nettlenose,Halfling,Bard
Bruis Waegn,Human,Dark Knight Paladin
,,
Ditty Broadbelly,Halfling,Bard
Cas Thornfoot,Halfling,Ranger
Pip Swiftfinger,Halfling,Rogue
Thom Mossytoes,Halfling,Rogue
Loopy Proudnose,Halfling,Wizard
Ashani Kelinde,human,cleric
Ergane,Human,Wizard
Hîsîntîr,elf,wizard/illusionist
Ceoles,Couatl,Couatl
Silwê Brâltini,human,magic user
Kazuki Tokiwa,Hengeyokai,Sorcebard
Azalea,Lamia,Wizard 
Lllleollelsss,silver dragon,wizard
Kestrel,Halfling,Rogue
Phantomwhip,Lizardman,bard
Grivala,Tiefling,Warlock
Nyxy,Gnome,Rouge
Haldir Loran,High Elf,Warlock
ZZ,dwarf,fighter
Bru,orc,barbarian
A temperate jump,giant psionic spider,giant psionic spider
Mallus H'sstro,Elf,Fighter
Heinz Proudfoot,Halfling,Cleric
Jack Nettlefinger,Halfling,Ranger
Bilbo Nettlenose,Halfling,Druid
Baggin Hawkfinger,Halfling,Ranger
Dizzy Trufflenose,Halfling,Ranger
Bobbin Trufflenose,Halfling,Ranger
Bill Broadbelly,Halfling,Paladin
Emery,human,paladin
Fancy Pete,Gnome,Sorcerer
Cruven,Elf,Monk
Corgius Chompski,Human,Paladin
Vorador,Drow,Wizard
Jonathan Alder,Human,cleric
Beryl,Genasi,earth sorcerer
Astrid Eutheria,human,sorcerer 
Violet,Dwarf,champion fighter
Sythyry,Gnome,Magus
Jayna Arnaeve,Lashunta,Technomancer
Dyne Oakrnheel,Half elf,Paladin
Ryelle,Human,Cleric
Darc Rosenling,Gnome,Sorceror
Acantha,satyr,ranger
Dzh pohll'Dzh,dragonborn,cleric
Bug,gnome,bard
Nakisha,dwarf,monk
Mikhael,half-elf,fighter
Dieter Johnson,hill dwarf,life cleric
Jolene Dean,tiefling,bard
"Louis ""The Croc"" Lacoste",bugbear,ranger
bug,gnome,bard
Clement,human,cleric
Ylva Silver-Tongued,dwarf,rogue
Odo Overhill,halfling,wizard
Basil Filozose,half-elf,fighter
Aife nic Dunan,human,druid
Petros Prosopoxinos,elf,barbarian
Sudanna,tiefling,paladin
Ruth,goblin,bard
Azzip Lowchapel,Dwarf,Ranger
Saspa Rattlecrass,Gnome,Witch
Braith,Dwarf,Bard
Cassandra Ree,Kenku,Bard
Leia Strelke,Half-orc,Druid
Fias Dul,Tiefling,Warlock
Tara Roesd,Aasimar,Bard
Thorvald Salzpier,Human,Wizard
Jeffrey Hands,Human,Warrior
Arno Fenn,Half-Elf,Monk
Suicide Girl,Human,Barbarian
Yasla,Tiefling,warlock
Moira Mistvail,Gnome,Illusionist Wizard
Geth Stormwind,Human,Paladin
Anura Azuran,Grippli,Cleric
Spectre,warforged,warlock
Aabbaraak,Dwarf,Fighter
Fudblart,Forest Gnome,Sorcerer 
Livia Blackthorn,half-elf,bard
Asic Embermoon,Tiefling Vampire ,Wizard
Erasmus,half-elf,warlock
Roskva Rockseeker,dwarf,cleric
Iskandar,Half-Orc,Druid
Ingrid Geirdriful,Aasimar,Paladin
Alan Whitcomb,Human,Bard/Ranger
Adriel Belphegor,half-elf,rogue
Moxie,Human,Gunslinger Alchemist
Sho,human,shaman
Eldon,gnome,wizard
Owl in Rain,Tabaxi,Cleric
Selena Aureliana Diamante Lapidarius,Elf,Swashbuckler
Koda,Human,Barbarian
Iki Hekili,Gnome,Scorcerer
Vedim Kraal,human,vampire
Jael,deva,shaman
Two,human,assassin
Nevitash Liath,kalashtar,warlock
Jad,elf,monk
Arasinya,half-elf,sorcerer
Elye,demon,sage
Aurora,shifter,druid
Tinker,warforged,artificer
Maltassar Bogs,human,rogue
Bren ir'Gadden,human,fighter
Aric Blacktree,halfling,monk
Fenmarel,warforged,blackguard
Arabela Stonefinger,Dwarf,Fighter
Arthur,Half-Elf,Druid
Biddy Hofftassel,Halfling,Rogue
Ashling,Half-Elf,Druid
Althaea,Elf,Ranger
Venza Wren Zaninove,Gnome,Bard
Fenmarel,warforged,blackguard
Orillo Firecarver,Goliath,Barbarian
Harris Fillmore,Human,Sorcerer
Torrm,half-orc,druid
Gen,Drow,Rogue
Taethodryll SerpentStrike,Elf,Wizard
Hartlock,Human ,Bard
Sindarin d'Lyrandar,half-elf,battlemind
Thrak Vernall,Half-Orc,Barbarian
Anna,changeling,warlock
Dryden Loren,Half-Elf,Spellsword
Millicent the Magnificent,Pseudodragon,Sorcerer
Nilaya,Drow,Rogue
Kabbalah,Human,Monk
Zorya,Human,Druid
Theophrastus 'Pimander' Nycoda,Half-elf,Sorcerer
Ghatchia SheWhoShields,Human,Fighter
Baron Wultram Kessler,changeling,psion
Sop Broadbelly,Halfling,Rogue
Judith of a Thousand Faces,Changeling,Warlock
Father Murook,orc,monk
Dorey Brazenleaf,Halfling,Bard
Borin Firefist,Dwarf,Wizard
Luraan HeartThatHeals,Orc,Cleric
Hester,minotaur,sword mage
Bogat Bonesnapper,Orc,Barbarian
Calycanthus,Half-elf,Paladin
Kaen Moeruko,Fire Gensai,Sorceror
Tawlyn,Dragonborn,Fighter
Nikephoros,Goliath,Paladin
Edouard Hyde,Human,Rogue
Buttercup,Half-Orc,Fighter/Barbarian
Immeral Coldstone,Elf,Wizard
"Stowe, The Wall",Human,Cleric
Shun Hikaru ,Kitsune ,Bard
Spruced Thirdly ,Halfling,Rogue 
Bryanne Harlander,Half elf,Ranger
Fi,elf,rogue
Sven Weriam,Half-Elf,Wizard
Florlime Barkwoof,Elf,Ranger
Waverly,Samsaran,Wizard
"Joseph ""Leland"" Nox ",Human,Cleric
Ixodida,Tiefling,Paladin
Arctos,Human,Druid
Penna,Elf,Ranger
Rumpleforeskin,Aasimar,Cleric
Gaerri,Half orc,Barbarian 
Kyrid,Elf,Ranger
Wren Whisperstep,Gnome,Rogue
Antiope,Half elf,Cleric
Taryn Albondigas,Human,Paladin
Tihrfana Dragonsbane,gnome,bard
Forlorn Whisper,Teifling,Paladin
Sekenneri Merai,Levitani,Companion
Melancyr,Elf,Warlock
Braden Kull,Human,Fighter
Sylvar,Elf,Ranger
Fafnir,Human,Barbarian
Tana,Half-Elf,Ardent
Alith Anar,Elf,Ranger
Kwari,Dwarf,Fighter
Jim Darkmagic,Human,Wizard
Eltharion Yvresse,Elf,Fighter
Omin Dran,Half elf,Cleric
Alarielle Isha,Elf,Druid
Viari,Human,Rogue
Morgaen,Elf,Ranger
Avelorn Morvael,Elf,Cleric
Donaar Blit'zen,Dragonborn,Paladin
Rosie Beestinger,Halfling,Monk
Belannaer Bel'Korhadris,Elf,Wizard
Cyeos Hoeth,Elf,Wizard
Bobbin,Halfling,Bard
K'thriss Drow'b,Dark elf,Warlock
Korhil Caradryan,Elf,Paladin
Yael Artenie,Human,Monk 
Meow,Kenku,Rouge
Aenarion Ulthuan ,Elf,Paladin
Rachel,Half-elf,Ranger
Aminaara Iluve,half elf,wizard
Seyetto Farran,Human,Sorcerer
Lileath Saphery,Elf,Wizard
Alex,Half-elf,Cleric/fighter
Kri,Aarakocra,Cleric
Imrik Caledor,Elf,Paladin
Walnut Dankgrass,Wood elf,Druid
Pendragon,Human,Paladin
"Puck Goodfellow, the Lord of the Dance",satyr,paladin
Strix,Tiefling,Sorcerer
Carabella Brightflower,Elf,Bard
Mardi Gras,tabaxi,bard
Tlacelel,Human,Barbarian
Binwin Bronzebottom,Mountain dwarf,Barbarian
Cora Ravenborn,Human,Paladin
Wadwick,Gnome,Illusionist
Morthai R'raght,Elf,Wizard
Silver Star,"Elf, grey",Ranger
Philbin,Halfling,Thief
Laske Neetlohikoramay,Gold Dragonborn,Sorcerer
Keita,halfling,barbarian
Urist McIrongut,Dwarf,Fighter
Roko Andersson-Bonepeeler,Half-Orc,Skald
Azog the Dragon Slayer,Half orc,Barbarian
Sauriv,Lizardfolk,monk
Onsalton Schea,Elf,Ranger
Elly Nurgal,Undine,Spiritualist/Hydrokineticist
Stumbleduck,Gnome,Druid
Marza,Dhampir,Bloodrager
Merki Riwaea,Half-mermaid,Ranger/Fighter/Brawler/Barbarian/Rogue
Picatrix,Half-Elf,Sorcerer
Julian Jade,Tiefling,Bard
Runica Talistra Argensolde,Elf,Sorcerer
Feyra,Half-elf,Oracle
Imperia Demethorne,Human,Cleric
Moira Hamelin,Human,Bard
Rodrik Igmargun Sturmrosk,Dwarf,Cleric
Charlie Candymountain,Dwarf,Cleric
Horgar Steelshadow,Duergar,Rogue
Mikry Jerad,Dragonborn,Bard
VIncram Solomon,Human,Gunslinger
Hito Ano,Kenku,Ranger
Ilia Serenica,Merfolk,Bard
Maxwell Kharvast,Human,Paladin
Celine the Blitz,Human,Fighter
Sigrid Ulfsdottir,Human,Barbarian
Camilla Maimhov,Tabaxi,Fighter
Aseir,Eldarin,Rogue
,Celosia Argentea,Dragonborn warrior
Demetria Andros,Elf,Swashbuckler
Karadeg Winterthorne,Human,Ranger
"Finneus Hague, Archdominiar of Abadar",Aasimar,Cleric
Inga,Human,Truenamer
Noor,Human,Assassin
Amaryllis Buckler,Halfling,Sorcerer
Oona,Goblin,Alchemist
Kalsa Davaek,Dwarf,Ranger
Dandelion Ticklefoot,Halfling,Druid
Finnola Randulfsdottir,Human,Cleric
Wolffang Bearfist,Halfling,Druid
Vivienne D'Oreille,Human,Inquisitor 
Emilia Granger,Human,Bard
Bayushi Akane,Human,Shugenja
Larissa,Half-elf,Rogue
Nathaniel Westerling,Human,Gunslinger 
Signy Vissbjorn,Human,Barbarian
Meg Mahariel,Human,Brawler
Seeta Umbara,Tiefling,Bloodrager
Bianca da Corsica,Human,Rogue
Hava,Aasimar,Paladin
Siliqui Undomiel,Half-elf,Druid
Sovalth,(Dark) Elf,Fighter
Anjali Lashtail,Tiefling,Bard
Evard Reir,Human,Paladin
Yidris,Half elf,Fighter (Eldritch Knight) & Rogue 
Kaeldra ,Dragonborn ,Paladin
Tapestry,half-elf,oracle
Bryony,human,oracle
Rumi Lyalis,Human,Fighter
Kartik,Human,Druid
Rodric Halfenen,Human,Paladin
Aliss,Human,Wizard
Carakanga,Elf,Rogue
Shamenos,Tiefling,Slayer
Levira Alderbough,Halfling,Rogue
Ardeis Hainskell,Human,Wizard
Regalia Littlewick,Human,Paladin
Valor,Warforged,Warblade
Alba,Mul,Warden
Hackin slash,Dwarf,Fighter
Norben Silverwind,Human,Sorcerer
Staeg Stormwind,Human,Barbarian multiclass Druid
Jamril Tranyth,Half-Elf,Druid
Irian Sunstone,human,paladin
Sron Von Thrutz,Human,Paladin
Inari Moonsong,elf,ranger
Therai falone,Teifling,Warlock
Polyphemale,Human,Cleric
Sindanarie,Tiefling,Shadowdancer
Galendil the Green,Human,Wizard
Galendil the Green,Human,Wizard
Khran of the Bloodspear Tribe,half-orc,barbarian
Olin Irondome,Dwarf,Fighter / Thief
Merrick Oftwilder,Human,Fighter
Bradamante,Human,Paladin
Romaré Esmé,Velisborn,Monk
Anna Syree,Human,Rogue
Derek Kade,Human,Wizard
Brother Esau,Human,Cleric
Lucius Cain,Human,Sorcerer
Famorra Arendayel,Elf,Sorcerer
Gavrilo Shadehorn,Tiefling,Paladin
Lyle of Angerhans,Human,Bard
Leif the Lucky,Human,Fighter
Teggen tuhk,Halfling,Rogue
Elenna Althariel,half-elf,ranger
Yeno,Drow,Sorceror
Morgan Demonsbane,human,paladin
Mister Neutron,Half-Orc,Red Dragon Disciple
Dagmuch,Half-orc,Bard-barian
Voog,Dwarf,Paladin
Larisse Kallaure,elf,wizard
Jenavian Chiminello ,Human,Rogue
Kassara,Human,Bard
Shrike Dasar,Half-orc,skald
Howard,Gnome,Sorcerer
Zyphrinel Lightouch,Gnome,Bard
Kothar,Lizardfolk,Paladin
Euclid,Half-Elf,Sorcerer
Arboreas,Elf,Rogue
Regina phalange,Halfling,Sorcerer
Smith Zagger,Half-orc,Paladin
Rhenagal,Dragonborn,Paladin
BEEFTANK,human,warrior
Celendi,Elf,Ranger
Amber Anvilborn,Dwarf,Monk
Xenbrea ,Half elf,Monk
Theodorina Bludvulf,Half orc half elf,Paladin
Lotl Botl,Dragonborn,Barbarian
Tiddlywinks Bumbershoot,Halfling,Rogue
Kroq Oxayotl,Dragonborn,Warlock
Diz,Changeling,Rogue
Quasar,Half elf,Sorcerer
Anien Gale'ren,Elf,Ranger
Inxi Huinzi,Dragonborn,Ranger
Itzi Bitzi,Dragonborn,Monk
Llewellyn Corwyn,Changeling,Wizard
Tenehuini Sotek,Dragonborn,Cleric
Colette,Human,Paladin
Bardrad,Dwarf,Barbarian
Mazdamundi Kroak,Dragonborn,Wizard
Evandorn Dunstag,Human,Ranger
Biriann,Dragonborn,Fighter
Thamior Holimion,Elf,Rogue
Itza Xhotl,Dragonborn,Warlock
Gamli,Dwarf,Cleric
Tepo Tzunki,Dragonborn,Warlock
